component_id,bncc_code,confidence,cc_subject,bncc_subject,source
2976cc43-e6c1-46d9-9e2d-d51e8d0edd63,EF35LP05,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
10b3f8a3-cf48-4e6f-9040-06154de7f582,EF69LP56,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
391f536c-a241-4da1-a1b0-a4a7c7bc6042,EF15LP04,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
631fb907-c9e8-4b29-a912-53172b1faf97,EF15LP18,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
e5b6c9da-f63b-4bf7-918c-e4bb8b2fc2d7,EF15LP18,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
d9981689-d513-453d-b0bd-001fca3876fd,EF07LI08,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
09043b93-e0fc-4f77-951c-95788af4a40f,EF07LI08,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
858bb264-acdd-4ffd-bca3-f9e5fca96a1e,EF69LP31,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
bbce8b12-e4df-4dcb-a8f5-2a9ae310d6ee,EF12LP01,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
0d8feadd-7dfb-4516-8149-96769a7cf11f,EF03LP02,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
e77e767b-e42b-4282-9218-33b3949cea60,EF69LP55,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
13072b7a-5a7d-4b8e-989e-74b9f3aa71c2,EF06LI17,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
d747488f-f894-4d2c-8e84-23337486a1a4,EF06LI17,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
653a170c-1d3e-4c6a-97d9-5d854564c0b1,EF15LP18,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
38c462de-da68-408d-93da-51d10e296fb5,EF06LI08,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
6f6eb5b6-d13d-4bd7-9e8a-aed3f830f30a,EF12LP04,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
81efdd73-151d-4e10-877e-0e86b95da51c,EF06LP03,medium,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
595a56a9-0389-42a9-bf61-fcedd441d317,EF35LP05,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
f139bc44-07c8-4457-a250-0bfd7e115e26,EF35LP05,high,English Language Arts,"Ciências Humanas e Sociais Aplicadas, Escuta, Fala, Pensamento e Imaginação, Geografia, História, Linguagens e suas Tecnologias, Língua Inglesa, Língua Portuguesa",ai_generated
